CD_FUC_FUN,NM_FUC_FUN
16015,GER GERAL UA
16016,GER GERAL UA
16017,GER GERAL UA
16018,GER GERAL UA
16020,GER GERAL UA
16023,GER GERAL UA
16025,GER GERAL UA
16026,GER GERAL UA
16027,GER GERAL UA
16030,GER GERAL UA
16033,GER GERAL UA
16034,GER GERAL UA
16035,GER GERAL UA
16036,GER GERAL UA
16037,GER GERAL UA
16038,GER GERAL UA
16040,GER GERAL UA
16041,GER GERAL UA
16043,GER GERAL UA
16044,GER GERAL UA
16045,GER GERAL UA
16048,GER GERAL UA
16050,GER GERAL UA
16051,GER GERAL UA
16052,GER GERAL UA
16054,GER GERAL UA
16055,GER GERAL UA
16057,GER GERAL UA
16058,GER GERAL UA
16059,GER GERAL UA
16060,GER GERAL UA
16062,GER GERAL UA
16063,GER GERAL UA
16065,GER GERAL UA
16066,GER GERAL UA
16068,GER GERAL UA
16069,GER GERAL UA
16071,GER GERAL UA
16072,GER GERAL UA
16090,GER GERAL UJA
16091,GER GERAL UJA
16092,GER GERAL UJA
16093,GER GERAL UJA
16094,GER GERAL UJA
16095,GER GERAL UJA
16096,GER GERAL UJA
16097,GER GERAL UJA
16098,GER GERAL UJA
16099,GER GERAL UJA
16100,GER GERAL UJA
16101,GER GERAL UJA
16120,CHEFE SESMT UA
16121,CHEFE SESMT UA
16122,CHEFE SESMT UA
16123,CHEFE SESMT UA
16124,CHEFE SESMT UA
16125,CHEFE SESMT UA
16126,CHEFE SESMT UA
16130,COORDENAD AUDITORIA
16131,COORDENAD AUDITORIA
16144,GER AREA UA
16145,GER AREA UA
16148,GER AREA UA
16151,GER AREA UA
16153,GER AREA UA
16154,GER AREA UA
16157,GER AREA UA
16160,GER AREA UA
16161,GER AREA UA
16163,GER AREA UA
16165,GER AREA UA
16167,GER AREA UA
16168,GER AREA UA
16169,GER AREA UA
16171,GER AREA UA
16172,GER AREA UA
16174,GER AREA UA
16176,GER AREA UA
16179,GER AREA UA
16180,GER AREA UA
16181,GER AREA UA
16182,GER AREA UA
16183,GER AREA UA
16184,GER AREA UA
16185,GER AREA UA
16186,GER AREA UA
16188,GER AREA UA
16189,GER AREA UA
16190,GER AREA UA
16200,GER AREA UJA
16201,GER AREA UJA
16202,GER AREA UJA
16203,GER AREA UJA
16204,GER AREA UJA
16205,GER AREA UJA
16206,GER AREA UJA
16220,GER SEGMENTO UA
16221,GER SEGMENTO UA
16222,GER SEGMENTO UA
16223,GER SEGMENTO UA
16224,GER SEGMENTO UA
16225,GER SEGMENTO UA
16226,GER SEGMENTO UA
16227,GER SEGMENTO UA
16228,GER SEGMENTO UA
16229,GER SEGMENTO UA
16230,GER SEGMENTO UA
16231,GER SEGMENTO UA
16232,GER SEGMENTO UA
16233,GER SEGMENTO UA
16234,GER SEGMENTO UA
16235,GER SEGMENTO UA
16250,GER NEG INTERN UA
16260,GER SETOR UA
16261,GER SETOR UA
16262,GER SETOR UA
16270,SUPERVISOR JUR UA
16271,SUPERVISOR JUR UA
16280,GER GRUPO UA
16285,ASS. AGRONEG I UA
16290,GER MODULO UA
16300,ASS. ENG ARQ I UA
16310,ASS. JURIDICO I UA
16320,ASS. REL. TRAB UA
16321,ASS. GESTAO E PESSOAS UA
16322,ASS. REL. TRAB UA
16323,ASS. GESTAO E PESSOAS UA
16330,ASS. SEGURANCA I UA
16340,AUDITOR SENIOR
16350,COORD PROC TRAB UA
16360,ASS. AGRONEG II UA
16370,ASS. ENG ARQ II UA
16380,ASS. JURIDICO II UA
16390,ASS. SEGURANCA II UA
16400,AUDITOR PLENO
16410,ASS. JURIDICO III UA
16420,AUDITOR JUNIOR
16430,ANALISTA TEC FIN UA
16440,ANALISTA TEC PL UA
16450,ANALISTA TEC JR UA
16460,ASSIST OP PLENO UA
16470,ATENDENTE UA
16480,ASSIST OP JUNIOR UA
16481,ASSIST OP JUNIOR UA
17000,GER GERAL CASH UN
17010,GER GERAL UN
17011,GER GERAL UN
17012,GER GERAL UN
17013,GER GERAL UN
17014,GER GERAL UN
17015,GER GERAL UN
17016,GER GERAL UN
17017,GER GERAL UN
17018,GER GERAL UN
17020,GER GERAL UN
17021,GER GERAL UN
17022,GER GERAL UN
17023,GER GERAL UN
17024,GER GERAL UN
17025,GER GERAL UN
17026,GER GERAL UN
17027,GER GERAL UN
17028,GER GERAL UN
17029,GER GERAL UN
17030,GER GERAL UN
17031,GER GERAL UN
17032,GER GERAL UN
17033,GER GERAL UN
17034,GER GERAL UN
17035,GER GERAL UN
17036,GER GERAL UN
17037,GER GERAL UN
17038,GER GERAL UN
17039,GER GERAL UN
17040,GER GERAL UN
17041,GER GERAL UN
17042,GER GERAL UN
17043,GER GERAL UN
17044,GER GERAL UN
17045,GER GERAL UN
17046,GER GERAL UN
17047,GER GERAL UN
17048,GER GERAL UN
17049,GER GERAL UN
17051,GER GERAL UN
17052,GER GERAL UN
17053,GER GERAL UN
17054,GER GERAL UN
17055,GER GERAL UN
17056,GER GERAL UN
17057,GER GERAL UN
17058,GER GERAL UN
17059,GER GERAL UN
17060,GER GERAL UN
17061,GER GERAL UN
17062,GER GERAL UN
17063,GER GERAL UN
17064,GER GERAL UN
17065,GER GERAL UN
17066,GER GERAL UN
17068,GER GERAL UN
17069,GER GERAL UN
17070,GER GERAL UN
17071,GER GERAL UN
17072,GER GERAL UN
17073,GER GERAL UN
17074,GER GERAL UN
17075,GER GERAL UN
17076,GER GERAL UN
17077,GER GERAL UN
17078,GER GERAL UN
17079,GER GERAL UN
17080,GER GERAL UN
17081,GER GERAL UN
17082,GER GERAL UN
17083,GER GERAL UN
17084,GER GERAL UN
17085,GER GERAL UN
17086,GER GERAL UN
17087,GER GERAL UN
17088,GER GERAL UN
17089,GER GERAL UN
17090,GER GERAL UN
17091,GER GERAL UN
17092,GER GERAL UN
17093,GER GERAL UN
17094,GER GERAL UN
17095,GER GERAL UN
17096,GER GERAL UN
17097,GER GERAL UN
17098,GER GERAL UN
17099,GER GERAL UN
17100,GER GERAL UN
17101,GER GERAL UN
17102,GER GERAL UN
17103,GER GERAL UN
17104,GER GERAL UN
17202,GER ADMINIST UN
17230,GER NEG INVEST UN
17240,GER NEGOCIOS UN
17241,GER NEGOCIOS UN
17242,GER NEGOCIOS UN
17243,GER NEGOCIOS UN
17244,GER NEGOCIOS UN
17247,GER NEGOCIOS UN
17248,GER NEGOCIOS UN
17249,GER NEGOCIOS UN
17251,GER NEGOCIOS UN
17252,GER NEGOCIOS UN
17256,GER NEGOCIOS UN
17257,GER NEGOCIOS UN
17260,GER NEGOCIOS UN
17261,GER NEGOCIOS UN
17263,GER NEGOCIOS UN
17264,GER NEGOCIOS UN
17265,GER NEGOCIOS UN
17266,GER NEGOCIOS UN
17269,GER NEGOCIOS UN
17270,GER NEGOCIOS UN
17271,GER NEGOCIOS UN
17273,GER NEGOCIOS UN
17274,GER NEGOCIOS UN
17277,GER NEGOCIOS UN
17278,GER NEGOCIOS UN
17279,GER NEGOCIOS UN
17280,GER NEGOCIOS UN
17281,GER NEGOCIOS UN
17282,GER NEGOCIOS UN
17283,GER NEGOCIOS UN
17285,GER NEGOCIOS UN
17300,GERENTE RELAC UN
17301,GERENTE RELAC UN
17302,GERENTE RELAC UN
17303,GERENTE RELAC UN
17304,GERENTE RELAC UN
17305,GERENTE RELAC UN
17306,GERENTE RELAC UN
17307,GERENTE RELAC UN
17308,GERENTE RELAC UN
17309,GERENTE RELAC UN
17310,GERENTE RELAC UN
17311,GERENTE RELAC UN
17312,GERENTE RELAC UN
17313,GERENTE RELAC UN
17314,GERENTE RELAC UN
17315,GERENTE RELAC UN
17316,GERENTE RELAC UN
17317,GERENTE RELAC UN
17318,GERENTE RELAC UN
17319,GERENTE RELAC UN
17320,GERENTE RELAC UN
17321,GERENTE RELAC UN
17322,GERENTE RELAC UN
17326,GERENTE RELAC UN
17327,GERENTE RELAC UN
17328,GERENTE RELAC UN
17329,GERENTE RELAC UN
17330,GERENTE RELAC UN
17331,GERENTE RELAC UN
17332,GERENTE RELAC UN
17333,GER CASH CORPORATE
17334,GER CASH LARGE
17335,GER CASH MPE
17340,GERENTE RELAC UN
17341,GERENTE RELAC UN
17342,GERENTE RELAC UN
17343,GERENTE RELAC UN
17344,GERENTE RELAC UN
17400,GER SERVICOS UN
17401,GER SERVICOS UN
17402,GER SERVICOS UN
17403,GER SERVICOS UN
17404,GER SERVICOS UN
17407,SUPERVISOR ATEND UN
17510,ASSIST. NEG UN
17511,ASSIST. NEG. UN
17512,ASSIST. NEG. UN
17520,ASSIST OP UN
18009,GER RELAC UN TRAINEE
18010,GER RELAC UN TRAINEE
18016,GER RELAC UN TRAINEE
21001,VRC 01
21003,VRC 03
21005,VRC 05
21008,VRC 08
21009,VRC 09
22008,VR-DSP 08
22024,VR-DSP 24
31008,PRV DIR EXEC PR
31071,PRV ASSESSOR
