COD;NOME_LOCAL;COD_LOCAL;NIVEL
8935;AGUA BRANCA-AL;197;S
8940;BARIRI;198;S
8945;ITAPETININGA;199;S
8950;GUARABIRA;200;S
8955;TUBARAO;201;S
8960;CARLOS CHAGAS;202;S
8965;AVARE;203;S
8970;ITUIUTABA;204;S
8975;OURO FINO;205;S
8980;MAFRA;206;S
8985;AGUA DOCE;207;S
8990;TRES LAGOAS;208;S
8995;SANTA TERESA;209;S
9000;ARAXA;210;S
9005;MARACAJU;211;S
9010;FORMIGA;212;S
9015;PEDRA AZUL;213;S
9020;ASSU;214;S
9025;AIMORES;215;S
9030;LIMEIRA;216;S
9035;UNIAO DA VITORIA;217;S
9040;SANTA CRUZ RIO PARDO;218;S
9045;BURITI ALEGRE;219;S
9050;GOIANA;220;S
9055;RIO VERDE;221;S
9060;SAO MATEUS;222;S
9065;ASSIS;223;S
9070;CORNELIO PROCOPIO;224;S
9075;SERRINHA;225;S
9085;BARRA;227;S
9090;SENHOR DO BONFIM;228;S
9095;MONTEIRO;229;S
9100;CAETITE;230;S
9105;BARREIRAS;231;S
9110;LIMOEIRO;232;S
9115;VITORIA SANTO ANTAO;233;S
9120;CRUZEIRO DO SUL-AC;234;S
9125;SANTA VITORIA PALMAR;235;S
9130;AGUA FRIA;236;S
9135;CRATEUS;237;S
9140;NAZARE;238;S
9145;SENADOR POMPEU;239;S
9150;AMARGOSA;240;S
9155;QUIXADA;241;S
9160;PEDREIRAS;242;S
9165;UNIAO;243;S
9170;AGUA PRETA;244;S
9175;UBAITABA;245;S
9180;SERRA TALHADA;246;S
9185;GUIRATINGA;247;S
9190;CODO;248;S
9195;RAMOS;249;S
9200;MONTE RORAIMA;250;S
9205;LENCOIS;251;S
9210;PIRACURUCA;252;S
9215;BRAGANCA;253;S
9220;PICOS;254;S
9225;LUZILANDIA;255;S
9230;OBIDOS;256;S
9235;TAQUARITINGA;257;S
9240;SAARA-RJ;258;S
9245;PARANAGUA;259;S
9255;MACAPA;261;S
9260;VOLTA REDONDA;262;S
9265;TAPES;263;S
9270;SANTO ANDRE;264;S
9275;SAO CRISTOVAO;265;S
9280;DORES DO INDAIA;266;S
9285;BELA VISTA-MS;267;S
9290;VOTUPORANGA;268;S
9295;JABOTICABAL;269;S
9300;UBA;270;S
9305;ITAQUI;271;S
9310;RANCHARIA;272;S
9315;ANDRADINA;273;S
9320;PATROCINIO;274;S
9330;AGUAI;275;S
9335;RIO DO SUL;276;S
9340;GOIAS;277;S
